100,66,2,True,145,Dell	Vostro 5568
101,394,2,False,62,Asus	Rog GL702VM-GC017T
102,53,1,False,169,Dell	Vostro 3568
103,793,1,False,94,Dell	XPS 13
104,405,1,True,174,Dell	Latitude 3480
105,710,1,True,94,Dell	Alienware 15
106,900,1,False,102,Razer	Blade Stealth
107,450,2,False,214,Toshiba	Satellite Pro
108,34,2,False,88,HP	15-ba043na (A12-9700P/8GB/2TB/W10)
109,599,2,False,123,MSI	GE72MVR 7RG
110,545,2,False,184,Dell	Latitude 3480
111,522,2,True,173,Toshiba	Satellite Pro
112,79,1,True,79,Asus	Rog GL702VS-BA023T
113,558,1,True,120,Asus	VivoBook Max
114,728,2,True,6,Dell	Inspiron 7567
115,621,1,False,98,Lenovo	IdeaPad 310-15IKB
116,37,2,False,8,Razer	Blade Stealth
117,870,2,True,147,Toshiba	Satellite Pro
118,894,2,False,71,Dell	Inspiron 7567
119,197,1,True,50,Dell	Latitude 3480
120,492,1,True,11,Dell	Alienware 15
121,867,1,False,44,Toshiba	Satellite Pro
122,443,1,False,105,Asus	R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10)
123,266,1,False,140,Dell	XPS 15
124,532,2,True,75,MSI	GL62M 7RD
125,873,2,False,138,Dell	Latitude 3480
127,528,2,True,114,Lenovo	Thinkpad T460
128,54,1,False,157,Toshiba	Tecra X40-D-10Z
129,471,2,True,60,Toshiba	Satellite Pro
130,594,2,False,216,Lenovo	V110-15ISK (i3-6006U/4GB/500GB/W10)
131,245,2,True,211,Dell	Alienware 15
132,126,2,False,15,Asus	Rog GL702VM-GC017T
133,430,2,False,150,HP	ZBook 17
134,835,1,True,171,Asus	R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10)
135,197,2,True,76,Lenovo	Thinkpad T460
136,662,1,True,109,Dell	XPS 15
137,87,1,True,156,HP	ZBook 17
138,24,2,True,33,Asus	ZenBook Flip
139,997,1,False,83,MSI	GE72MVR 7RG
140,464,2,True,169,Dell	Latitude 3180
141,603,2,True,186,Samsung	Notebook 9
142,24,1,False,30,Lenovo	ThinkPad T470s
143,373,1,False,88,Razer	Blade Pro
144,350,2,True,148,Lenovo	ThinkPad X1
145,696,1,False,131,HP	ZBook 17
146,844,2,False,30,Dell	Vostro 5568
147,45,2,True,29,Toshiba	Satellite Pro
148,39,1,False,20,Dell	XPS 15
149,897,2,False,42,Razer	Blade Pro
150,243,2,False,186,Lenovo	Thinkpad T460
151,61,1,True,99,Toshiba	Tecra X40-D-10Z
152,118,1,False,102,MSI	GE72MVR 7RG
153,527,1,False,26,Razer	Blade Stealth
154,657,2,True,143,Asus	Rog GL702VS-BA023T
155,55,1,True,182,Dell	Alienware 15
156,26,2,False,188,HP	Chromebook 11
157,401,2,True,195,Toshiba	Satellite Pro
158,933,2,False,5,Dell	Latitude 3180
159,287,1,True,78,Lenovo	Thinkpad T470s
160,46,2,True,202,Asus	Rog GL702VS-BA023T
161,958,1,True,192,Lenovo	ThinkPad T470s
162,489,2,False,48,Asus	Rog GL702VM-GC017T
163,821,1,False,41,Lenovo	ThinkPad X1
164,658,2,True,199,MSI	GE72MVR 7RG
165,349,2,True,207,MSI	GE72MVR 7RG
166,115,1,False,87,Asus	R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10)
167,809,2,False,157,Lenovo	IdeaPad 310-15IKB
168,474,2,False,58,Lenovo	Thinkpad T470s
169,89,2,True,151,Dell	XPS 13
170,397,1,False,25,Lenovo	N42-20 Chromebook
171,162,2,True,37,Asus	ZenBook Flip
172,8,1,True,199,Toshiba	Satellite Pro
173,439,2,False,26,Razer	Blade Pro
174,904,1,False,190,Dell	XPS 13
175,739,1,True,158,Lenovo	Thinkpad X1
176,648,2,False,86,Dell	Vostro 3568
177,722,1,False,72,Asus	VivoBook Max
178,798,2,True,217,Asus	ZenBook Flip
179,839,1,False,76,Lenovo	ThinkPad T470s
180,411,1,True,187,Dell	Alienware 15
181,281,2,True,125,HP	EliteBook 820
182,439,1,True,43,HP	EliteBook 820
183,581,1,False,97,Dell	XPS 15
185,69,1,True,74,HP	Chromebook 11
186,421,2,True,120,Dell	Latitude 3480
